rank,Word
1299,Ian
1300,Henry
1301,jump
1302,eating
1303,proof
1304,complete
1305,slept
1306,career
1307,arrest
1308,star
1309,Phyllis
1310,Mac
1311,breathe
1312,perfectly
1313,warm
1314,pulled
1315,Maria
1316,twice
1317,easier
1318,killer
1319,goin'
1320,dating
1321,suit
1322,romantic
1323,drugs
1324,comfortable
1325,Isaac
1326,powers
1327,finds
1328,checked
1329,fit
1330,divorce
1331,begin
1332,ourselves
1333,closer
1334,ruin
1335,although
1336,smile
1337,laugh
1338,fish
1339,Abigail
1340,treat
1341,god's
1342,fear
1343,Anna
1344,what'd
1345,Simone
1346,Amber
1347,guy's
1348,otherwise
1349,excited
1350,mail
1351,hiding
1352,cost
1353,green
1354,stole
1355,Pacey
1356,noticed
1357,Liza
1358,fired
1359,Daphne
1360,Whitney
1361,excellent
1362,lived
1363,bringing
1364,pop
1365,piper
1366,bottom
1367,note
1368,sudden
1369,church
1370,bathroom
1371,flight
1372,Chad
1373,la
1374,honestly
1375,sing
1376,Katie
1377,foot
1378,games
1379,glass
1380,N.
1381,Mitch
1382,remind
1383,bank
1384,Rory
1385,charges
1386,witness
1387,finding
1388,places
1389,tree
1390,dare
1391,hardly
1392,that'll
1393,U.
1394,interest
1395,steal
1396,princess
1397,silly
1398,contact
1399,teach
1400,shop
1401,plus
1402,colonel
1403,fresh
1404,trial
1405,invited
1406,roll
1407,radio
1408,art
1409,reach
1410,heh
1411,dirty
1412,choose
1413,emergency
1414,dropped
1415,butt
1416,credit
1417,obvious
1418,cry
1419,locked
1420,Larry
1421,loving
1422,positive
1423,nuts
1424,agreed
1425,Prue
1426,price
1427,goodbye
1428,condition
1429,guard
1430,fuckin'
1431,grow
1432,cake
1433,mood
1434,dad's
1435,Bianca
1436,total
1437,crap
1438,crying
1439,Paige
1440,K.
1441,belong
1442,lay
1443,partner
1444,trick
1445,pressure
1446,ohh
1447,arm
1448,dressed
1449,cup
1450,lies
1451,bus
1452,taste
1453,neck
1454,south
1455,something's
1456,nurse
1457,raise
1458,land
1459,cross
1460,lots
1461,mister
1462,carry
1463,group
1464,whoever
1465,Eddie
1466,drinking
1467,they'd
1468,breaking
1469,file
1470,lock
1471,computer
1472,yo
1473,Rebecca
1474,wine
1475,closed
1476,writing
1477,spot
1478,paying
1479,study
1480,assume
1481,asleep
1482,man's
1483,turning
1484,legal
1485,justice
1486,Viki
1487,Chandler
1488,bedroom
1489,shower
1490,Nikolas
1491,camera
1492,fill
1493,reasons
1494,forty
1495,bigger
1496,nope
1497,keys
1498,Starr
1499,breath
1500,doctors
1501,pants
1502,freak
1503,level
1504,French
1505,movies
1506,gee
1507,Monica
1508,action
1509,area
1510,folks
1511,Steve
1512,cream
1513,ugh
1514,continue
1515,focus
1516,wild
1517,truly
1518,Jill
1519,desk
1520,convince
1521,client
1522,threw
1523,Taylor
1524,band
1525,hurts
1526,Charles
1527,spending
1528,Neil
1529,field
1530,allow
1531,grand
1532,answers
1533,shirt
1534,chair
1535,Christ
1536,allowed
1537,rough
1538,doin
1539,sees
1540,government
1541,Harry
1542,ought
1543,empty
1544,round
1545,lights
1546,insane
1547,hall
1548,hat
1549,bastard
1550,wind
1551,shows
1552,aware
1553,dealing
1554,pack
1555,meaning
1556,flowers
1557,tight
1558,hurting
1559,ship
1560,subject
1561,guest
1562,mom's
1563,chicken
1564,pal
1565,match
1566,Elaine
1567,arrested
1568,sun
1569,Rachel
1570,Salem
1571,confused
1572,surgery
1573,expecting
1574,deacon
1575,Colleen
1576,unfortunately
1577,goddamn
1578,lab
1579,passed
1580,bottle
1581,beyond
1582,whenever
1583,pool
1584,opinion
1585,naked
1586,held
1587,common
1588,starts
1589,jerk
1590,secrets
1591,falling
1592,played
1593,necessary
1594,barely
1595,dancing
1596,health
1597,tests
1598,copy
1599,Keri
1600,video
1601,cousin
1602,planned
1603,Vanessa
1604,dry
1605,ahem
1606,twelve
1607,simply
1608,Tess
1609,Scott
1610,skin
1611,often
1612,English
1613,fifteen
1614,spirit
1615,speech
1616,names
1617,issue
1618,orders
1619,nah
1620,final
1621,Michelle
1622,America
1623,St.
1624,results
1625,code
1626,Ned
1627,Bonnie
1628,W.
1629,believed
1630,complicated
1631,umm
1632,research
1633,nowhere
1634,escape
1635,biggest
1636,restaurant
1637,page
1638,grateful
1639,usual
1640,burn
1641,Chicago
1642,Austin
1643,address
1644,within
1645,someplace
1646,screw
1647,everywhere
1648,train
1649,film
1650,regret
1651,goodness
1652,mistakes
1653,heaven
1654,details
1655,responsibility
1656,suspect
1657,corner
1658,hero
1659,dumb
1660,terrific
1661,Peter
1662,mission
1663,further
1664,Amy
1665,gas
1666,whoo
1667,hole
1668,memories
1669,o'clock
1670,Brian
1671,truck
1672,following
1673,ended
1674,nobody's
1675,Margo
1676,teeth
1677,ruined
1678,Hank
1679,split
1680,Reva
1681,bear
1682,airport
1683,bite
1684,smoke
1685,Stenbeck
1686,older
1687,liar
1688,horse
1689,Gwen
1690,showing
1691,van
1692,project
1693,cards
1694,desperate
1695,themselves
1696,search
1697,pathetic
1698,damage
1699,spoke
1700,quickly
1701,scare
1702,Marah
1703,G.
1704,beach
1705,Mia
1706,brown
1707,afford
1708,vote
1709,settle
1710,gold
1711,re
1712,mentioned
1713,ed
1714,due
1715,passion
1716,Y.
1717,stayed
1718,rule
1719,Friday
1720,checking
1721,tie
1722,hired
1723,upon
1724,rush
1725,Tad
1726,heads
1727,concern
1728,blew
1729,natural
1730,Alcazar
1731,Kramer
1732,champagne
1733,connection
1734,tickets
1735,Kate
1736,finger
1737,happiness
1738,form
1739,saving
1740,kissing
1741,Martin
1742,hated
1743,personally
1744,suggest
1745,prepared
1746,build
1747,leg
1748,onto
1749,leaves
1750,downstairs
1751,ticket
1752,it'd
1753,taught
1754,loose
1755,holy
1756,staff
1757,sea
1758,Asa
1759,planet
1760,duty
1761,convinced
1762,throwing
1763,defense
1764,Harvey
1765,kissed
1766,legs
1767,Dave
1768,according
1769,loud
1770,practice
1771,Andy
1772,Jess
1773,Saturday
1774,Colin
1775,bright
1776,Amanda
1777,Fraser
1778,F.
1779,babies
1780,army
1781,where'd
1782,warning
1783,miracle
1784,carrying
1785,flying
1786,Caleb
1787,blind
1788,queen
1789,ugly
1790,shopping
1791,hates
1792,someone's
1793,Seth
1794,monster
1795,sight
1796,vampire
1797,Rosanna
1798,bride
1799,coat
1800,account
1801,states
1802,clearly
1803,celebrate
1804,Nicole
1805,brilliant
1806,wanting
1807,Allison
1808,add
1809,moon
1810,Forrester
1811,lips
1812,custody
1813,center
1814,screwed
1815,buying
1816,size
1817,toast
1818,thoughts
1819,Isabella
1820,student
1821,stories
1822,however
1823,professional
1824,stars
1825,reality
1826,Jimmy
1827,birth
1828,Lexie
1829,attitude
1830,advantage
1831,grandfather
1832,Sami
1833,sold
1834,opened
1835,Lily
1836,grandma
1837,beg
1838,Edward
1839,changes
1840,Diego
1841,Cole
1842,someday
1843,grade
1844,cheese
1845,roof
1846,Kenny
1847,Bobby
1848,pizza
1849,brothers
1850,X.
1851,signed
1852,bird
1853,ahh
1854,marrying
1855,powerful
1856,grown
1857,grandmother
1858,fake
1859,opening
1860,Sally
1861,Stephanie
1862,expected
1863,eventually
1864,must've
1865,ideas
1866,exciting
1867,covered
1868,Parker
1869,de
1870,familiar
1871,bomb
1872,bout
1873,television
1874,harmony
1875,color
1876,heavy
1877,schedule
1878,records
1879,H.
1880,dollar
1881,capable
1882,master
1883,numbers
1884,Toby
1885,practically
1886,including
1887,correct
1888,clue
1889,forgotten
1890,immediately
1891,appointment
1892,social
1893,nature
1894,ú
1895,deserves
1896,west
1897,Blake
1898,teacher
1899,threat
1900,Frankie
1901,bloody
1902,lonely
1903,Kelly
1904,ordered
1905,shame
1906,Brittany
1907,local
